"","index","alpha","digit","code"
"1",1,"b",8,"b:8"
"2",2,"q",3,"q:3"
"3",3,"h",3,"h:3"
"4",4,"d",4,"d:4"
"5",5,"n",2,"n:2"
"6",6,"k",4,"k:4"
"7",7,"v",7,"v:7"
"8",8,"v",8,"v:8"
"9",9,"f",5,"f:5"
"10",10,"c",6,"c:6"
"11",11,"f",5,"f:5"
"12",12,"z",4,"z:4"
"13",13,"l",1,"l:1"
"14",14,"l",0,"l:0"
"15",15,"h",2,"h:2"
"16",16,"f",0,"f:0"
"17",17,"p",5,"p:5"
"18",18,"c",4,"c:4"
"19",19,"e",0,"e:0"
"20",20,"r",7,"r:7"
"21",21,"h",1,"h:1"
"22",22,"m",1,"m:1"
"23",23,"m",6,"m:6"
"24",24,"y",8,"y:8"
"25",25,"s",2,"s:2"
"26",26,"r",5,"r:5"
"27",27,"w",2,"w:2"
"28",28,"g",4,"g:4"
"29",29,"l",3,"l:3"
"30",30,"m",6,"m:6"
"31",31,"x",1,"x:1"
"32",32,"w",3,"w:3"
"33",33,"g",3,"g:3"
"34",34,"o",7,"o:7"
"35",35,"i",4,"i:4"
"36",36,"v",0,"v:0"
"37",37,"x",4,"x:4"
"38",38,"h",9,"h:9"
"39",39,"m",8,"m:8"
"40",40,"g",0,"g:0"
"41",41,"x",4,"x:4"
"42",42,"k",4,"k:4"
"43",43,"m",3,"m:3"
"44",44,"q",3,"q:3"
"45",45,"o",7,"o:7"
"46",46,"v",0,"v:0"
"47",47,"k",6,"k:6"
"48",48,"a",9,"a:9"
"49",49,"y",2,"y:2"
"50",50,"p",9,"p:9"
"51",51,"v",1,"v:1"
"52",52,"f",2,"f:2"
"53",53,"d",6,"d:6"
"54",54,"r",8,"r:8"
"55",55,"t",3,"t:3"
"56",56,"i",6,"i:6"
"57",57,"w",0,"w:0"
"58",58,"m",9,"m:9"
"59",59,"k",6,"k:6"
"60",60,"b",5,"b:5"
"61",61,"d",3,"d:3"
"62",62,"d",3,"d:3"
"63",63,"q",7,"q:7"
"64",64,"w",8,"w:8"
"65",65,"n",3,"n:3"
"66",66,"q",9,"q:9"
"67",67,"g",3,"g:3"
"68",68,"a",0,"a:0"
"69",69,"b",1,"b:1"
"70",70,"b",4,"b:4"
"71",71,"r",2,"r:2"
"72",72,"o",2,"o:2"
"73",73,"o",9,"o:9"
"74",74,"d",5,"d:5"
"75",75,"r",1,"r:1"
"76",76,"r",0,"r:0"
"77",77,"w",4,"w:4"
"78",78,"h",7,"h:7"
"79",79,"w",8,"w:8"
"80",80,"u",2,"u:2"
"81",81,"x",9,"x:9"
"82",82,"v",4,"v:4"
"83",83,"s",7,"s:7"
"84",84,"j",6,"j:6"
"85",85,"o",5,"o:5"
"86",86,"x",9,"x:9"
"87",87,"n",5,"n:5"
"88",88,"c",5,"c:5"
"89",89,"d",6,"d:6"
"90",90,"u",9,"u:9"
"91",91,"z",3,"z:3"
"92",92,"h",8,"h:8"
"93",93,"t",8,"t:8"
"94",94,"n",1,"n:1"
"95",95,"e",6,"e:6"
"96",96,"g",1,"g:1"
"97",97,"a",9,"a:9"
"98",98,"z",1,"z:1"
"99",99,"m",1,"m:1"
"100",100,"t",9,"t:9"
"101",101,"l",2,"l:2"
"102",102,"r",1,"r:1"
"103",103,"i",7,"i:7"
"104",104,"v",5,"v:5"
"105",105,"b",6,"b:6"
"106",106,"a",2,"a:2"
"107",107,"u",2,"u:2"
"108",108,"r",1,"r:1"
"109",109,"m",0,"m:0"
"110",110,"w",6,"w:6"
"111",111,"r",2,"r:2"
"112",112,"e",4,"e:4"
"113",113,"v",0,"v:0"
"114",114,"i",4,"i:4"
"115",115,"c",4,"c:4"
"116",116,"w",7,"w:7"
"117",117,"r",3,"r:3"
"118",118,"a",2,"a:2"
"119",119,"a",6,"a:6"
"120",120,"v",1,"v:1"
"121",121,"u",8,"u:8"
"122",122,"v",2,"v:2"
"123",123,"k",1,"k:1"
"124",124,"z",9,"z:9"
"125",125,"r",4,"r:4"
"126",126,"f",4,"f:4"
"127",127,"n",5,"n:5"
"128",128,"z",9,"z:9"
"129",129,"b",7,"b:7"
"130",130,"g",5,"g:5"
"131",131,"h",8,"h:8"
"132",132,"i",6,"i:6"
"133",133,"n",8,"n:8"
"134",134,"m",3,"m:3"
"135",135,"w",3,"w:3"
"136",136,"i",9,"i:9"
"137",137,"t",4,"t:4"
"138",138,"p",1,"p:1"
"139",139,"y",8,"y:8"
"140",140,"a",8,"a:8"
"141",141,"l",6,"l:6"
"142",142,"u",8,"u:8"
"143",143,"l",6,"l:6"
"144",144,"n",7,"n:7"
"145",145,"q",8,"q:8"
"146",146,"w",2,"w:2"
"147",147,"n",7,"n:7"
"148",148,"m",8,"m:8"
"149",149,"v",3,"v:3"
"150",150,"u",2,"u:2"
"151",151,"q",7,"q:7"
"152",152,"t",2,"t:2"
"153",153,"o",7,"o:7"
"154",154,"l",6,"l:6"
"155",155,"f",1,"f:1"
"156",156,"a",1,"a:1"
"157",157,"q",3,"q:3"
"158",158,"l",7,"l:7"
"159",159,"v",8,"v:8"
"160",160,"f",6,"f:6"
"161",161,"h",0,"h:0"
"162",162,"e",4,"e:4"
"163",163,"q",3,"q:3"
"164",164,"w",5,"w:5"
"165",165,"w",1,"w:1"
"166",166,"o",2,"o:2"
"167",167,"m",0,"m:0"
"168",168,"j",3,"j:3"
"169",169,"k",7,"k:7"
"170",170,"a",2,"a:2"
"171",171,"q",8,"q:8"
"172",172,"t",8,"t:8"
"173",173,"k",0,"k:0"
"174",174,"c",8,"c:8"
"175",175,"q",8,"q:8"
"176",176,"e",2,"e:2"
"177",177,"x",7,"x:7"
"178",178,"v",8,"v:8"
"179",179,"w",6,"w:6"
"180",180,"c",2,"c:2"
"181",181,"j",4,"j:4"
"182",182,"k",2,"k:2"
"183",183,"w",9,"w:9"
"184",184,"h",3,"h:3"
"185",185,"s",4,"s:4"
"186",186,"y",2,"y:2"
"187",187,"v",8,"v:8"
"188",188,"r",8,"r:8"
"189",189,"y",0,"y:0"
"190",190,"v",8,"v:8"
"191",191,"k",1,"k:1"
"192",192,"l",2,"l:2"
"193",193,"w",4,"w:4"
"194",194,"v",3,"v:3"
"195",195,"s",6,"s:6"
"196",196,"q",7,"q:7"
"197",197,"f",5,"f:5"
"198",198,"h",4,"h:4"
"199",199,"l",3,"l:3"
"200",200,"h",0,"h:0"
"201",201,"q",5,"q:5"
"202",202,"p",5,"p:5"
"203",203,"h",3,"h:3"
"204",204,"l",6,"l:6"
"205",205,"f",8,"f:8"
"206",206,"i",7,"i:7"
"207",207,"x",1,"x:1"
"208",208,"p",9,"p:9"
"209",209,"h",0,"h:0"
"210",210,"k",7,"k:7"
"211",211,"y",0,"y:0"
"212",212,"w",6,"w:6"
